Pixel Row,Red,Green,Blue
288,9,47,128
289,4,49,140
290,5,51,145
291,3,53,152
292,1,54,158
293,1,55,163
294,0,56,165
295,1,57,168
296,2,58,169
297,3,59,170
298,5,58,170
299,4,57,169
300,2,58,169
301,3,59,170
302,2,60,170
303,1,59,169
304,3,59,168
305,3,59,168
306,2,58,167
307,2,58,167
308,2,58,167
309,2,58,167
310,3,60,167
311,3,60,167
312,3,60,167
313,3,60,167
314,5,59,165
315,5,59,165
316,5,59,165
317,5,59,165
318,6,60,166
319,6,60,166
320,5,60,163
321,5,60,163
322,4,59,162
323,5,60,163
324,5,60,163
325,5,60,163
326,5,60,161
327,4,59,160
328,3,58,159
329,4,59,160
330,5,60,160
331,6,61,161
332,6,61,161
333,6,61,161
334,6,61,161
335,7,61,161
336,8,60,159
337,8,60,159
338,8,60,159
339,8,60,159
340,8,60,159
341,8,60,159
342,8,61,157
343,8,61,157
344,8,61,157
345,8,61,157
346,7,60,154
347,7,60,154
348,7,60,154
349,7,60,154
350,8,61,155
351,8,61,155
352,7,62,153
353,7,62,152
354,8,62,150
355,9,60,149
356,10,60,147
357,9,59,146
358,10,58,143
359,9,57,141
360,9,56,138
361,7,54,132
362,7,53,130
363,7,53,128
433,25,141,214
434,27,145,215
435,28,146,216
436,30,149,217
437,32,151,219
438,33,152,218
439,33,152,218
440,34,154,217
441,35,155,218
442,38,156,218
443,38,156,218
444,39,157,219
445,39,157,219
446,41,157,218
447,42,158,217
448,44,159,216
449,45,160,215
450,47,160,216
451,47,160,216
452,48,161,217
453,49,162,218
454,52,163,218
455,54,165,220
456,55,165,218
457,57,167,220
458,60,167,219
459,59,167,216
460,59,167,214
461,61,169,215
462,63,172,215
463,64,171,215
464,65,171,213
465,65,171,213
466,66,172,214
467,67,173,215
468,68,174,214
469,69,175,215
470,72,176,215
471,73,177,214
472,75,178,213
473,76,179,214
474,79,179,213
475,79,179,213
476,80,180,212
477,81,181,213
478,83,182,213
479,83,182,213
480,85,183,212
481,85,183,210
482,88,183,211
483,89,184,212
484,90,186,211
485,91,187,212
486,93,187,212
487,93,187,212
488,96,188,211
489,97,189,210
490,97,190,208
491,99,192,210
492,101,192,210
493,102,193,211
494,103,194,212
495,105,194,212
496,106,193,210
497,107,195,209
498,108,196,208
499,109,197,209
500,110,197,207
501,111,198,208
502,112,199,208
503,113,200,209
504,117,202,209
505,117,202,209
506,118,201,207
507,119,202,206
508,123,204,207
509,124,205,208
510,124,205,208
511,124,205,206
512,126,206,205
513,128,208,205
514,129,208,205
515,129,208,205
516,132,211,206
517,132,211,206
518,134,211,205
519,135,212,206
520,136,211,204
521,137,213,203
522,140,213,202
523,141,214,203
524,142,216,203
525,143,217,204
526,146,218,206
527,147,219,205
528,147,218,202
529,148,219,201
530,149,220,202
531,150,221,203
532,152,221,202
533,153,222,203
534,155,223,202
535,156,224,203
536,160,225,203
537,161,226,202
538,161,227,200
539,161,227,200
540,162,226,199
541,164,228,201
542,166,230,203
543,168,231,202
544,171,232,201
545,170,231,198
546,170,231,198
547,172,233,200
548,173,234,200
549,173,234,200
550,175,235,201
551,177,237,203
552,180,237,202
553,181,237,202
554,183,237,201
555,185,237,201
556,187,237,200
557,188,238,201
558,191,238,202
559,192,239,203
560,194,240,203
561,195,241,204
562,197,241,205
563,198,242,206
564,201,243,207
565,202,244,208
566,203,243,206
567,206,244,207
568,208,244,208
569,210,244,209
570,213,245,208
571,214,246,209
572,216,246,210
573,217,247,211
574,218,248,212
575,219,249,213
576,221,249,211
577,220,248,210
578,218,246,208
579,215,243,205
580,214,242,202
581,213,241,201
582,209,240,199
583,206,237,196
584,204,235,194
585,203,234,193
586,200,232,191
587,200,232,191
588,199,232,189
589,196,229,186
590,194,227,184
591,194,227,184
592,192,225,182
593,190,223,180
594,188,221,178
595,185,218,175
596,182,218,174
597,180,216,172
598,178,214,168
599,177,213,167
600,175,213,166
601,174,212,165
602,172,210,163
603,170,208,161
604,167,206,159
605,165,204,157
606,163,203,153
607,162,202,152
608,160,200,150
609,158,198,148
610,157,197,145
611,156,196,144
612,154,194,142
613,152,192,140
614,148,191,138
615,146,189,136
616,144,188,135
617,142,186,133
618,140,185,130
619,138,183,128
620,137,182,127
621,136,181,126
622,132,179,124
623,131,178,123
624,131,176,119
625,129,174,117
626,124,172,114
627,122,170,112
628,121,169,111
629,120,168,110
630,117,167,108
631,115,165,106
632,113,163,104
633,112,162,103
634,109,161,99
635,108,160,98
636,107,159,97
637,105,157,95
638,102,154,92
639,100,152,90
640,101,151,90
641,100,150,89
642,96,148,84
643,93,145,81
644,91,143,79
645,90,142,78
646,84,139,74
647,81,136,71
648,80,132,68
649,75,127,63
650,72,124,62
651,69,121,59
652,65,115,56
653,61,111,52
654,59,106,51
